jday,Hday,Hphosyn,Δbiomax,γreg,Δbioactual,bioactual
7,8.3000,0.0000,0.0000,0.0100,0.0000,0.0000
8,7.2000,0.0000,0.0000,0.0100,0.0000,0.0000
9,8.2000,0.0000,0.0000,0.0100,0.0000,0.0000
10,3.8000,0.0000,0.0000,0.0100,0.0000,0.0000
11,8.3000,0.0000,0.0000,0.0100,0.0000,0.0000
12,5.0000,0.0000,0.0000,0.0100,0.0000,0.0000
13,5.1000,0.0000,0.0000,0.0100,0.0000,0.0000
14,9.7000,0.0000,0.0000,0.0100,0.0000,0.0000
15,9.6000,0.0000,0.0000,0.0100,0.0000,0.0000
16,4.4000,0.0000,0.0000,0.0100,0.0000,0.0000
17,9.7000,0.0000,0.0000,0.0100,0.0000,0.0000
18,9.9000,0.0000,0.0000,0.0100,0.0000,0.0000
19,6.2000,0.0000,0.0000,0.0100,0.0000,0.0000
20,9.0000,0.0000,0.0000,0.0100,0.0000,0.0000
21,8.9000,0.0000,0.0000,0.0100,0.0000,0.0000
22,7.5000,0.0000,0.0000,0.0100,0.0000,0.0000
23,8.0000,0.0000,0.0000,0.0100,0.0000,0.0000
24,9.1000,0.0000,0.0000,0.0100,0.0000,0.0000
25,3.8000,0.0000,0.0000,0.0100,0.0000,0.0000
26,7.5000,0.0000,0.0000,0.0100,0.0000,0.0000
27,3.5000,0.0000,0.0000,0.0100,0.0000,0.0000
28,5.6000,0.0000,0.0000,0.0100,0.0000,0.0000
29,7.9000,0.0000,0.0000,0.0100,0.0000,0.0000
30,9.7000,0.0000,0.0000,0.0100,0.0000,0.0000
31,10.7000,0.0000,0.0000,0.0100,0.0000,0.0000
32,10.3000,0.0000,0.0000,0.0100,0.0000,0.0000
33,7.8000,0.0000,0.0000,0.0100,0.0000,0.0000
34,11.9000,0.0000,0.0000,0.0100,0.0000,0.0000
35,12.0000,0.0000,0.0000,0.0100,0.0000,0.0000
36,11.4000,0.0000,0.0000,0.0100,0.0000,0.0000
37,11.7000,0.0000,0.0000,0.0100,0.0000,0.0000
38,8.2000,0.0000,0.0000,0.0100,0.0000,0.0000
39,6.9000,0.0000,0.0000,0.0100,0.0000,0.0000
40,12.8000,0.0000,0.0000,0.0100,0.0000,0.0000
41,11.1000,0.0000,0.0000,0.0100,0.0000,0.0000
42,11.1000,0.0000,0.0000,0.0100,0.0000,0.0000
43,5.2000,0.0000,0.0000,0.0100,0.0000,0.0000
44,12.3000,0.0000,0.0000,0.0100,0.0000,0.0000
